,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
1466,0.73,0.41,0.65,1.37,0.95,-1.4,1.0599528291391085
1467,0.73,0.4,0.66,1.95,0.3,-0.79,1.0623088063270492
1468,0.73,0.4,0.66,2.71,0.61,-0.85,1.0623088063270492
1469,0.73,0.4,0.66,2.71,0.21,-0.79,1.0623088063270492
1470,0.73,0.4,0.65,2.93,-0.3,-0.55,1.0561249926026748
1471,0.73,0.4,0.67,3.29,-0.4,-0.95,1.0685504199615476
1472,0.73,0.4,0.66,3.45,-0.64,-0.85,1.0623088063270492
1473,0.73,0.4,0.66,3.66,-1.07,-1.04,1.0623088063270492
1474,0.73,0.4,0.65,3.69,-1.07,-0.73,1.0561249926026748
1475,0.73,0.4,0.65,3.48,-0.95,-1.19,1.0561249926026748
1476,0.73,0.4,0.65,3.29,-0.88,-0.73,1.0561249926026748
1477,0.74,0.4,0.65,3.38,-0.98,-0.64,1.0630616162763098
1478,0.72,0.4,0.65,2.77,-0.43,-0.73,1.049237818609299
1479,0.74,0.4,0.65,2.44,-0.4,-0.82,1.0630616162763098
1480,0.74,0.4,0.64,2.44,-0.3,-0.82,1.056976820937905
1481,0.73,0.4,0.65,2.07,-0.21,-0.64,1.0561249926026748
1482,0.73,0.4,0.65,1.77,-0.67,-1.22,1.0561249926026748
1483,0.74,0.4,0.65,1.52,-1.25,-1.13,1.0630616162763098
1484,0.74,0.39,0.65,1.37,-0.76,-0.85,1.0593394168065304
1485,0.74,0.4,0.65,1.43,-0.88,-1.01,1.0630616162763098
1486,0.74,0.39,0.64,1.68,-0.85,-1.16,1.0532331175955303
1487,0.74,0.4,0.65,1.74,-0.43,-1.52,1.0630616162763098
1488,0.73,0.4,0.65,1.77,-0.64,-1.25,1.0561249926026748
1489,0.74,0.4,0.64,1.59,-0.52,-1.07,1.056976820937905
1490,0.74,0.4,0.64,1.55,-0.85,-1.25,1.056976820937905
1491,0.74,0.4,0.64,1.71,-0.06,-1.25,1.056976820937905
1492,0.74,0.41,0.64,1.68,-0.21,-1.28,1.060801583709225
1493,0.74,0.4,0.64,1.74,-0.43,-1.07,1.056976820937905
1494,0.73,0.4,0.64,1.77,-0.49,-0.95,1.05
1495,0.74,0.39,0.64,1.92,-0.55,-0.79,1.0532331175955303
1496,0.73,0.39,0.64,2.38,-0.58,-0.61,1.0462313319720453
1497,0.74,0.39,0.64,2.65,-0.34,-0.4,1.0532331175955303
1498,0.74,0.39,0.64,2.8,-0.27,-0.43,1.0532331175955303
