,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
1043,-0.03,0.07,1.09,-10.76,5.37,-4.18,1.092657311328671
1044,-0.05,0.06,1.09,-11.34,3.9,-3.78,1.0927945827098522
1045,-0.05,0.06,1.1,-10.73,3.14,-3.9,1.102769241500687
1046,-0.05,0.05,1.09,-9.63,2.87,-3.17,1.092291169972549
1047,-0.06,0.05,1.11,-8.63,1.74,-2.41,1.1127443551867608
1048,-0.06,0.04,1.11,-6.37,1.28,-1.86,1.1123398761170078
1049,-0.05,0.02,1.12,-3.48,0.3,-1.1,1.1212938954618454
1050,-0.05,0.01,1.11,-1.19,-0.85,-0.67,1.1111705539655017
1051,-0.04,0.01,1.11,1.98,-1.1,-0.15,1.110765501804949
1052,-0.04,0.01,1.1,5.0,-0.95,-0.24,1.10077245605075
1053,-0.03,0.01,1.1,7.35,-1.71,-0.21,1.100454451578983
1054,-0.03,0.0,1.09,10.15,-1.68,-0.18,1.0904127658827183
1055,-0.03,0.0,1.09,12.35,-1.59,0.55,1.0904127658827183
1056,-0.05,0.01,1.08,13.81,-1.07,0.24,1.0812030336620408
1057,-0.03,0.02,1.06,14.54,-0.46,0.46,1.0606130302801302
1058,-0.03,0.04,1.05,13.87,0.09,0.24,1.0511898020814319
1059,-0.02,0.06,1.04,11.95,0.76,0.03,1.0419213022104885
1060,-0.02,0.08,1.03,9.6,1.74,-0.76,1.0332956982393762
1061,-0.02,0.09,1.02,6.65,2.74,-0.85,1.0241581909060729
1062,-0.03,0.1,1.02,3.45,3.2,-1.52,1.025329215423027
1063,-0.03,0.1,1.02,-0.24,3.35,-1.16,1.025329215423027
1064,-0.03,0.1,1.02,-2.99,4.85,-1.46,1.025329215423027
1065,-0.03,0.1,1.02,-5.98,4.48,-1.71,1.025329215423027
1066,-0.03,0.09,1.02,-8.08,5.18,-1.62,1.0244022647378324
1067,-0.03,0.09,1.04,-9.51,5.64,-1.62,1.044317959244214
1068,-0.03,0.08,1.03,-10.64,6.4,-1.71,1.0335376142163382
1069,-0.03,0.07,1.04,-11.1,6.68,-1.52,1.042784733298297
1070,-0.03,0.06,1.04,-10.73,7.62,-0.85,1.0421612159354234
1071,-0.04,0.05,1.05,-9.88,8.57,-0.18,1.0519505691808908
1072,-0.04,0.05,1.05,-9.33,9.05,0.18,1.0519505691808908
1073,-0.04,0.04,1.06,-8.69,9.85,0.67,1.061508360777248
1074,-0.04,0.03,1.07,-7.99,9.45,1.22,1.071167587261676
1075,-0.04,0.01,1.08,-6.34,9.88,1.4,1.0807867504739315
1076,-0.05,0.01,1.09,-5.06,10.49,1.68,1.0911920087683928
1077,-0.05,0.02,1.09,-3.38,10.82,1.43,1.0913294644606641
1078,-0.05,0.01,1.1,-2.23,10.21,1.31,1.101181184001979
1079,-0.06,0.0,1.1,-0.49,9.76,1.16,1.101635148313633
1080,-0.06,0.0,1.11,1.83,9.02,0.73,1.1116204388189344
1081,-0.06,-0.0,1.12,3.57,8.41,0.03,1.1216059914247962
1082,-0.06,0.01,1.1,5.12,7.5,0.06,1.101680534456337
1083,-0.06,0.01,1.11,6.04,6.59,-0.4,1.1116654172906524
1084,-0.06,0.02,1.11,6.52,5.4,-0.58,1.1118003417880389
1085,-0.06,0.04,1.1,6.89,4.27,-0.7,1.1023611023616537
1086,-0.06,0.05,1.09,6.65,3.11,-0.61,1.0927945827098522
1087,-0.06,0.13,1.1,11.71,2.13,0.91,1.1092790451459904
1088,-0.07,0.05,1.09,4.12,1.28,-0.85,1.0933892262136116
1089,-0.08,0.07,1.07,1.49,-0.55,-0.91,1.075267408601228
1090,-0.06,0.1,1.07,0.21,0.76,-1.71,1.0763363786474933
1091,-0.07,0.1,1.07,-3.02,-0.43,-1.43,1.0769401097554125
1092,-0.06,0.1,1.06,-4.94,-1.22,-1.83,1.0663957989414625
1093,-0.06,0.09,1.06,-7.29,-1.1,-1.59,1.0655045753069294
1094,-0.06,0.08,1.06,-8.75,-1.16,-1.34,1.0647065323364933
1095,-0.06,0.07,1.05,-10.15,-0.95,-1.22,1.0540398474441086
1096,-0.06,0.06,1.05,-10.79,-1.16,-0.67,1.0534229919647664
1097,-0.05,0.05,1.06,-11.16,-1.07,-0.34,1.0623558725775464
1098,-0.05,0.04,1.06,-10.67,-0.79,0.03,1.0619322012256716
1099,-0.04,0.04,1.07,-8.66,-0.27,0.58,1.0714942836991712
1100,-0.03,0.04,1.06,-5.79,0.95,1.22,1.0611785900591852
1101,-0.05,0.0,1.07,-7.35,-0.15,0.79,1.071167587261676
1102,-0.03,0.0,1.08,-2.9,1.86,1.4,1.0804165863221464
1103,-0.04,-0.03,1.08,-2.93,2.93,1.68,1.0811567878897121
1104,-0.03,-0.02,1.07,-1.37,3.35,1.52,1.07060730429042
1105,-0.03,-0.01,1.08,0.91,5.3,1.68,1.0804628637764464
1106,-0.04,-0.01,1.09,2.74,5.95,2.13,1.0907795377618708
1107,-0.04,0.0,1.07,4.42,6.22,2.44,1.0707474025184465
1108,-0.05,0.0,1.08,5.64,6.98,2.35,1.0811567878897121
1109,-0.05,0.01,1.08,6.52,6.37,2.5,1.0812030336620408
1110,-0.06,0.01,1.08,5.88,6.34,2.16,1.0817116066678771
1111,-0.06,0.01,1.09,5.0,5.58,2.84,1.0916959283610066
1112,-0.07,0.03,1.09,3.57,5.03,2.77,1.092657311328671
1113,-0.06,0.05,1.08,1.37,3.66,2.53,1.0828203913853858
1114,-0.07,0.06,1.09,-0.43,2.53,2.68,1.0938921336219583
1115,-0.07,0.05,1.08,-2.96,1.19,1.95,1.0834205093129814
1116,-0.07,0.05,1.09,-5.79,-0.03,1.68,1.0933892262136116
1117,-0.08,0.06,1.09,-8.81,-1.52,1.65,1.0945775440780796
1118,-0.07,0.07,1.08,-12.41,-2.56,1.62,1.084527546906947
1119,-0.07,0.07,1.07,-15.95,-3.6,1.16,1.074569681314339
1120,-0.06,0.07,1.08,-20.09,-5.4,0.91,1.0839280418920807
1121,-0.08,0.07,1.08,-23.35,-6.37,0.61,1.0852188719332152
1122,-0.07,0.07,1.07,-26.74,-6.8,0.43,1.074569681314339
1123,-0.07,0.06,1.08,-30.46,-7.8,0.37,1.0839280418920807
1124,-0.07,0.04,1.08,-33.05,-8.51,0.55,1.0830050784737808
1125,-0.07,0.02,1.08,-34.66,-8.93,0.34,1.0824509226750192
1126,-0.06,0.0,1.09,-34.82,-8.84,0.55,1.0916501271011698
1127,-0.06,-0.01,1.1,-34.82,-8.93,0.49,1.101680534456337
1128,-0.05,-0.02,1.1,-33.41,-8.72,0.58,1.1013173929435602
1129,-0.06,-0.03,1.1,-31.28,-8.63,1.04,1.1020435563080073
1130,-0.05,-0.05,1.1,-27.68,-8.05,1.31,1.1022703842524302
1131,-0.05,-0.06,1.11,-23.81,-8.96,1.28,1.1127443551867608
1132,-0.04,-0.06,1.12,-19.33,-8.87,1.62,1.122319027727856
1133,-0.04,-0.06,1.1,-14.54,-8.81,1.89,1.1023611023616537
1134,-0.04,-0.07,1.09,-9.05,-8.69,2.2,1.092977584399607
1135,-0.04,-0.07,1.09,-3.84,-7.93,3.11,1.092977584399607
1136,-0.04,-0.07,1.09,1.19,-6.65,3.75,1.092977584399607
1137,-0.04,-0.06,1.1,7.04,-5.24,4.42,1.1023611023616537
1138,-0.03,-0.05,1.09,11.8,-2.71,5.82,1.091558518816101
1139,-0.04,-0.03,1.08,15.27,-1.13,6.59,1.0811567878897121
1140,-0.04,-0.03,1.08,18.26,-0.37,6.86,1.0811567878897121
1141,-0.04,-0.01,1.07,19.94,1.01,7.5,1.0707940978544848
1142,-0.05,0.01,1.07,20.12,1.07,7.8,1.0712142642814275
1143,-0.06,0.03,1.08,19.24,1.65,7.93,1.082081327812286
1144,-0.06,0.04,1.06,17.9,1.19,7.62,1.0624499988234741
1145,-0.07,0.05,1.07,15.4,0.79,7.68,1.0734523743510935
1146,-0.06,0.05,1.07,12.32,0.3,7.01,1.072846680565308
1147,-0.06,0.05,1.07,9.42,-0.03,6.77,1.072846680565308
1148,-0.05,0.05,1.06,6.71,-0.46,6.34,1.0623558725775464
1149,-0.05,0.05,1.07,3.05,-1.83,5.34,1.0723339032223125
1150,-0.04,0.04,1.07,0.61,-2.41,4.6,1.0714942836991712
1151,-0.04,0.03,1.07,-1.37,-2.44,3.78,1.071167587261676
1152,-0.04,0.02,1.07,-2.93,-2.87,3.11,1.0709341716464182
1153,-0.04,0.0,1.07,-4.45,-3.26,2.84,1.0707474025184465
1154,-0.04,-0.01,1.08,-4.82,-2.9,2.26,1.0807867504739315
1155,-0.04,-0.02,1.08,-4.15,-2.84,2.23,1.0809255293497328
1156,-0.04,-0.03,1.08,-3.29,-2.93,1.8,1.0811567878897121
1157,-0.03,-0.04,1.08,-1.86,-2.44,1.28,1.0811567878897121
1158,-0.05,-0.04,1.08,-0.64,-1.68,0.7,1.0818964830333815
1159,-0.03,-0.05,1.08,0.7,-1.13,0.79,1.0815729286552989
1160,-0.03,-0.05,1.09,2.93,-0.18,0.15,1.091558518816101
1161,-0.03,-0.05,1.09,5.24,1.07,0.49,1.091558518816101
1162,-0.04,-0.05,1.1,6.95,1.71,0.03,1.1018620603324176
1163,-0.04,-0.03,1.1,8.32,2.23,0.61,1.101135777277262
1164,-0.04,-0.03,1.11,9.79,2.87,0.15,1.111125555461668
1165,-0.04,-0.02,1.1,10.73,2.96,0.46,1.100908715561831
1166,-0.05,-0.01,1.1,11.49,2.38,0.58,1.101181184001979
1167,-0.05,-0.01,1.11,12.44,2.2,0.7,1.1111705539655017
1168,-0.05,-0.0,1.11,13.02,2.07,1.34,1.111125555461668
1169,-0.05,0.0,1.11,13.54,1.74,2.13,1.111125555461668
1170,-0.06,0.02,1.1,12.87,1.34,2.96,1.1018166816671457
1171,-0.06,0.04,1.09,11.46,-0.49,3.14,1.092382716816776
1172,-0.06,0.04,1.09,9.76,-2.13,3.38,1.092382716816776
1173,-0.05,0.03,1.08,8.11,-3.14,3.38,1.0815729286552989
1174,-0.05,0.03,1.08,6.01,-4.02,3.29,1.0815729286552989
1175,-0.05,0.04,1.08,3.6,-4.63,3.48,1.0818964830333815
1176,-0.04,0.04,1.08,1.62,-4.63,3.41,1.081480466767662
1177,-0.05,0.04,1.07,-0.21,-5.0,3.35,1.0719141756689292
1178,-0.04,0.04,1.06,-1.95,-4.76,3.32,1.061508360777248
1179,-0.04,0.03,1.06,-3.81,-4.51,2.65,1.0611785900591852
1180,-0.04,0.02,1.05,-5.52,-4.6,2.62,1.050951949424901
1181,-0.04,0.02,1.05,-7.23,-4.66,2.38,1.050951949424901
1182,-0.03,0.01,1.06,-7.93,-4.39,1.92,1.0604715932074749
1183,-0.03,0.01,1.06,-8.51,-3.57,1.8,1.0604715932074749
1184,-0.02,0.01,1.05,-9.12,-2.65,1.95,1.0502380682492898
1185,-0.02,0.01,1.05,-9.42,-1.07,1.74,1.0502380682492898
1186,-0.02,0.01,1.05,-9.36,0.0,1.98,1.0502380682492898
1187,-0.03,0.01,1.04,-9.36,1.1,2.44,1.0404806581575652
1188,-0.03,0.01,1.05,-9.39,1.71,2.9,1.0504760825454333
1189,-0.03,0.01,1.05,-9.3,2.35,3.05,1.0504760825454333
1190,-0.04,0.01,1.04,-9.18,3.38,3.93,1.0408169867945085
1191,-0.03,0.01,1.05,-8.9,4.42,4.94,1.0504760825454333
1192,-0.03,0.0,1.05,-8.11,5.52,5.82,1.0504284840006957
1193,-0.03,0.01,1.06,-7.56,7.01,6.74,1.0604715932074749
1194,-0.04,0.01,1.06,-5.91,8.08,7.74,1.060801583709225
1195,-0.04,-0.01,1.07,-4.02,8.14,9.12,1.0707940978544848
1196,-0.04,-0.04,1.07,-1.77,8.6,8.84,1.0714942836991712
1197,-0.03,-0.05,1.09,1.28,8.9,8.17,1.091558518816101
1198,-0.03,-0.05,1.1,4.73,8.99,7.41,1.101544370418187
1199,-0.02,-0.04,1.1,8.02,9.33,6.52,1.100908715561831
1200,-0.03,-0.03,1.11,11.43,9.66,5.15,1.1108105148944172
1201,-0.04,-0.02,1.11,14.45,9.27,4.57,1.1109005356016353
1202,-0.06,-0.01,1.11,17.16,7.84,3.72,1.1116654172906524
1203,-0.06,0.02,1.11,18.69,6.07,3.45,1.1118003417880389
1204,-0.08,0.04,1.1,19.33,3.78,3.29,1.1036303729057118
1205,-0.08,0.07,1.09,18.11,1.49,3.32,1.0951712194903591
1206,-0.08,0.1,1.08,15.82,-0.15,3.9,1.087566089945802
1207,-0.07,0.11,1.07,13.17,-1.31,3.84,1.0779146533933008
1208,-0.06,0.12,1.06,9.12,-2.8,3.75,1.0684568311354465
1209,-0.05,0.13,1.04,4.66,-3.45,3.69,1.049285471165974
1210,-0.05,0.13,1.04,-0.03,-3.57,3.23,1.049285471165974
1211,-0.04,0.13,1.03,-4.88,-3.54,3.32,1.0389417693018217
1212,-0.04,0.13,1.02,-9.54,-3.48,3.2,1.0290286682109493
1213,-0.03,0.12,1.02,-13.26,-2.13,3.51,1.0274726273726225
1214,-0.03,0.1,1.03,-17.16,-1.74,3.23,1.0352777405121776
1215,-0.02,0.09,1.03,-20.34,-0.34,3.23,1.034117981663601
1216,-0.03,0.08,1.04,-22.96,0.64,2.65,1.0435037134576954
1217,-0.02,0.06,1.03,-24.82,1.62,2.84,1.0319399207318225
1218,-0.02,0.04,1.04,-26.16,2.77,2.59,1.0409610943738483
1219,-0.02,-0.01,1.04,-25.88,2.96,2.62,1.040240356840668
1220,-0.02,-0.04,1.05,-24.36,4.27,2.9,1.050951949424901
1221,-0.02,-0.06,1.04,-21.83,5.88,3.69,1.0419213022104885
1222,-0.03,-0.09,1.04,-19.39,6.71,4.48,1.044317959244214
1223,-0.01,-0.09,1.04,-16.46,8.81,5.0,1.0439348638684312
1224,0.01,-0.1,1.04,-13.17,10.12,4.7,1.04484448603608
1225,-0.01,-0.09,1.04,-11.37,12.68,5.95,1.0439348638684312
1226,-0.01,-0.11,1.03,-9.73,12.93,6.25,1.035905401086412
1227,-0.01,-0.12,1.06,-7.29,13.66,5.09,1.0668176976409793
1228,0.01,-0.11,1.05,-5.37,16.62,4.57,1.0557935404235053
1229,-0.01,-0.09,1.01,-4.97,18.05,4.36,1.014051280754578
